back_legroom,body_type,city,front_legroom,has_accidents,height,horsepower,is_new,latitude,length,longitude,make_name,maximum_seating,mileage,model_name,owner_count,price,width,year
37.5,SUV / Crossover,Saginaw,40.9,NA,66.8,197,1,43.4366,183.7,-84.0331,Buick,5,3,Envision,NA,30980,72.4,2020
NA,Coupe,Long Beach,NA,NA,51.2,379,1,33.7907,177.9,-118.143,Porsche,4,12,911,NA,118420,79.7,2020
40.4,Sedan,Ontario,42.3,NA,57.1,192,1,34.048,192.2,-117.545,Honda,5,2,Accord,NA,27935,73.3,2020
40.4,Pickup Truck,Corydon,41.8,TRUE,76.3,317,0,38.2319,224.6,-86.1337,Nissan,6,118317,Titan,2,12500,79.5,2009
35.7,Sedan,Laurel,42.2,NA,56.5,147,1,39.0953,182.7,-76.8526,Kia,5,15,Forte,NA,20148,70.9,2020
39.3,SUV / Crossover,Plattsburgh,41.2,NA,63.2,141,1,44.6959,170.9,-73.5042,Honda,5,5,HR-V,NA,25140,70.5,2020
NA,Van,Pleasanton,38.9,NA,96.3,188,1,37.6999,233.5,-121.902,Mercedes-Benz,3,9,Sprinter,NA,51023,92.3,2020
43.6,Pickup Truck,Gilbert,43.9,NA,77.2,375,1,33.2867,231.9,-111.763,Ford,6,3,F-150,NA,44170,96.8,2020
36.6,Coupe,Merriam,42.1,NA,55.2,335,1,39.0162,200.2,-94.6916,BMW,5,20,8 Series,NA,94325,84.1,2020
40.3,SUV / Crossover,Conway,41.1,NA,65.7,180,1,33.8545,182,-79.0795,Jeep,5,12,Cherokee,NA,27430,73.2,2020
29.9,Coupe,Cary,41.9,NA,52,205,1,35.7392,166.7,-78.8082,Subaru,4,3,BRZ,NA,29925,69.9,2020
34.7,Pickup Truck,Houston,41,NA,77.2,305,1,29.9247,229,-95.4118,RAM,6,19,1500,NA,35319,79.4,2020
NA,Van,Philadelphia,41.3,FALSE,83.6,310,0,39.911,219.9,-75.2227,Ford,2,11979,Transit Cargo,1,26999,97.4,2019
36.2,Sedan,New Castle,42,FALSE,56.5,140,0,41.0534,177.3,-80.3572,Honda,5,111601,Civic,1,9485,69,2012
37.2,SUV / Crossover,Stafford,41,FALSE,72.6,285,0,29.6456,184.9,-95.572,Jeep,5,21384,Wrangler Unlimited,1,30480,73.7,2018
37.6,SUV / Crossover,Phoenix,41.7,NA,70.1,235,1,33.6516,200.7,-111.931,Volkswagen,7,0,Atlas,NA,28831,78.4,2021
36.8,SUV / Crossover,Florence,41.3,FALSE,72.8,281,0,38.9687,205,-84.6171,Chevrolet,8,115464,Traverse,2,8699,78.4,2009
37.2,SUV / Crossover,Spearfish,40.3,FALSE,65,340,0,44.4749,186.3,-103.809,Jaguar,5,24470,F-PACE,1,43990,85.6,2018
38.6,SUV / Crossover,Pulaski,40.3,FALSE,69.3,295,0,44.6598,189.8,-88.2734,Jeep,5,35506,Grand Cherokee,2,25995,84.8,2017
39.9,SUV / Crossover,Waco,40.9,NA,65.4,170,1,31.5315,183.1,-97.1948,Chevrolet,5,5,Equinox,NA,23164,72.6,2020
37.4,Sedan,Inver Grove Heights,41.1,NA,56.8,228,1,44.88,185.2,-93.0786,Volkswagen,5,12,Jetta GLI,NA,25874,70.8,2020
40.3,SUV / Crossover,Pekin,41.1,NA,65.7,270,1,40.6241,182,-89.6212,Jeep,5,5,Cherokee,NA,22573,73.2,2020
